Method,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint,ILCD 2.0 2018 midpoint
Category,climate change,ecosystem quality,ecosystem quality,ecosystem quality,ecosystem quality,ecosystem quality,human health,human health,human health,human health,human health,human health,resources,resources,resources,resources
Subcategory,climate change total,freshwater ecotoxicity,freshwater and terrestrial acidification,freshwater eutrophication,marine eutrophication,terrestrial eutrophication,non-carcinogenic effects,carcinogenic effects,ionising radiation,ozone layer depletion,photochemical ozone creation,"respiratory effects, inorganics",minerals and metals,dissipated water,fossils,land use
Name,,,,,,,,,,,,,,,,
market_glass_uncoated,27.108434533459963,7.084989479680761,0.22376911011316947,0.002518595660311178,0.051920251138638775,0.6030429755518065,1.0182973561299147e-06,2.3690952789731695e-07,3.1110427711313418,2.7355721765811785e-06,0.14241268065145835,2.2475914962889263e-06,0.0006817259342290571,6.044472097650247,344.4128897223832,104.18087645335603
market_glass_coated,28.713477929932182,9.145661995452318,0.23711876156635092,0.0031658055584837456,0.054341978623265084,0.6332391083369916,1.4023116442352282e-06,3.390491484693755e-07,3.8892689057266656,2.889317106052189e-06,0.14962592037923947,2.364093437999047e-06,0.001000136302350877,6.751506743032585,377.57046772698055,146.02354367317113
market_tsg,29.223323617616934,7.306455321437748,0.22966472729163687,0.002587280835615108,0.05337882489635815,0.6196570540797538,1.0478843549577977e-06,2.4716060997314407e-07,3.18744571836778,3.022427937439914e-06,0.14679475604470588,2.2967281803791787e-06,0.0006964703690801266,6.205681035033944,377.21741210554046,106.57247688507614
market_tsg_coated,30.860467882018593,9.408341287524728,0.24328137177388187,0.0032474349317511294,0.05584898693067699,0.6504571095206427,1.4395789288252154e-06,3.513430229566434e-07,3.98123637565501,3.1792477655003465e-06,0.1541522605670426,2.4155601609235015e-06,0.0010212489445643829,6.9268563733239015,411.03814167022944,149.25199744927932
market_lsg,36.92996041217547,12.349695020711405,0.2596356864064866,0.00504661908366117,0.06027993791262726,0.6878393323026405,1.927267789008962e-06,4.334020739545613e-07,9.193621167280586,5.559630500082614e-06,0.16707504915384183,2.5529516727416184e-06,0.0009335326857160503,11.589549640922119,623.934818010978,196.81956914082664
market_lsg_coated,37.748532544376296,13.400638003754912,0.2664440086476092,0.005376696131729179,0.0615150189297867,0.7032393600230853,2.123115075942673e-06,4.854932804463111e-07,9.590516495924199,5.638040414112829e-06,0.17075380141501026,2.6123676630137815e-06,0.0010959219734581784,11.950137310067122,640.8451827933226,218.1593294229453
market_smartglass,42.91608115145688,16.678418635607414,0.27716135441778955,0.008508224959981906,0.06472747729552325,0.7235773899806621,2.9909723365772117e-06,5.835661750628412e-07,16.886085286377035,1.2567110496182398e-05,0.1770745906963918,2.6123259439500577e-06,0.00426477775298567,14.173215224077612,837.5301448759133,273.79470692959495
