EndUse,Run name,FuelType,0
Cooling,d_k_2126_tg1_vav,Natural Gas,0
Cooling,d_l_2126_tg2_vav,Electricity,624.74
Cooling,d_l_2126_tg2_vav,Natural Gas,0
Cooling,d_m_2126_tg3_vav,Electricity,605.45
Cooling,d_m_2126_tg3_vav,Natural Gas,0
Cooling,d_n_2126_tg4_vav,Electricity,481.67
Cooling,d_n_2126_tg4_vav,Natural Gas,0
Cooling,d_o_2126_tg5_vav,Electricity,498.29
Cooling,d_o_2126_tg5_vav,Natural Gas,0
Cooling,d_p_2126_tg6_vav,Electricity,615.69
Cooling,d_p_2126_tg6_vav,Natural Gas,0
Cooling,e_a_2126_dg_init_vav_int,Electricity,464.09
Cooling,e_a_2126_dg_init_vav_int,Natural Gas,0
Cooling,e_b_2126_dg0_vav_int,Electricity,530.17
Cooling,e_b_2126_dg0_vav_int,Natural Gas,0
Cooling,e_c_2126_sg1_vav_int,Electricity,478.1
Cooling,e_c_2126_sg1_vav_int,Natural Gas,0
Cooling,e_d_2126_sg2_vav_int,Electricity,430.56
Cooling,e_d_2126_sg2_vav_int,Natural Gas,0
Cooling,e_e_2126_dg1_vav_int,Electricity,652.64
Cooling,e_e_2126_dg1_vav_int,Natural Gas,0
Cooling,e_f_2126_dg2_vav_int,Electricity,545.75
Cooling,e_f_2126_dg2_vav_int,Natural Gas,0
Cooling,e_g_2126_dg3_vav_int,Electricity,557.5
Cooling,e_g_2126_dg3_vav_int,Natural Gas,0
Cooling,e_h_2126_dg4_vav_int,Electricity,443.8
Cooling,e_h_2126_dg4_vav_int,Natural Gas,0
Cooling,e_i_2126_dg5_vav_int,Electricity,491.55
Cooling,e_i_2126_dg5_vav_int,Natural Gas,0
Cooling,e_j_2126_dg6_vav_int,Electricity,542.52
Cooling,e_j_2126_dg6_vav_int,Natural Gas,0
Cooling,e_k_2126_tg1_vav_int,Electricity,695.33
Cooling,e_k_2126_tg1_vav_int,Natural Gas,0
Cooling,e_l_2126_tg2_vav_int,Electricity,576.99
Cooling,e_l_2126_tg2_vav_int,Natural Gas,0
Cooling,e_m_2126_tg3_vav_int,Electricity,565.23
Cooling,e_m_2126_tg3_vav_int,Natural Gas,0
Cooling,e_n_2126_tg4_vav_int,Electricity,474.11
Cooling,e_n_2126_tg4_vav_int,Natural Gas,0
Cooling,e_o_2126_tg5_vav_int,Electricity,487.69
Cooling,e_o_2126_tg5_vav_int,Natural Gas,0
Cooling,e_p_2126_tg6_vav_int,Electricity,573.9
Cooling,e_p_2126_tg6_vav_int,Natural Gas,0
Cooling,f_a_2126_dg_init_vrf,Electricity,212.87
Cooling,f_a_2126_dg_init_vrf,Natural Gas,0
Cooling,f_b_2126_dg0_vrf,Electricity,277.59
Cooling,f_b_2126_dg0_vrf,Natural Gas,0
Cooling,f_c_2126_sg1_vrf,Electricity,230.55
Cooling,f_c_2126_sg1_vrf,Natural Gas,0
Cooling,f_d_2126_sg2_vrf,Electricity,183.45
Cooling,f_d_2126_sg2_vrf,Natural Gas,0
Cooling,f_e_2126_dg1_vrf,Electricity,349.75
Cooling,f_e_2126_dg1_vrf,Natural Gas,0
Cooling,f_f_2126_dg2_vrf,Electricity,278.18
Cooling,f_f_2126_dg2_vrf,Natural Gas,0
Cooling,f_g_2126_dg3_vrf,Electricity,285.26
Cooling,f_g_2126_dg3_vrf,Natural Gas,0
Cooling,f_h_2126_dg4_vrf,Electricity,215.91
Cooling,f_h_2126_dg4_vrf,Natural Gas,0
Cooling,f_i_2126_dg5_vrf,Electricity,243.31
Cooling,f_i_2126_dg5_vrf,Natural Gas,0
Cooling,f_j_2126_dg6_vrf,Electricity,274.59
Cooling,f_j_2126_dg6_vrf,Natural Gas,0
Cooling,f_k_2126_tg1_vrf,Electricity,363.61
Cooling,f_k_2126_tg1_vrf,Natural Gas,0
Cooling,f_l_2126_tg2_vrf,Electricity,293.89
Cooling,f_l_2126_tg2_vrf,Natural Gas,0
Cooling,f_m_2126_tg3_vrf,Electricity,286.55
Cooling,f_m_2126_tg3_vrf,Natural Gas,0
Cooling,f_n_2126_tg4_vrf,Electricity,237.23
Cooling,f_n_2126_tg4_vrf,Natural Gas,0
Cooling,f_o_2126_tg5_vrf,Electricity,244.42
Cooling,f_o_2126_tg5_vrf,Natural Gas,0
Cooling,f_p_2126_tg6_vrf,Electricity,291.1
Cooling,f_p_2126_tg6_vrf,Natural Gas,0
Cooling,g_a_2126_dg_init_vrf_int,Electricity,203.86
Cooling,g_a_2126_dg_init_vrf_int,Natural Gas,0
Cooling,g_b_2126_dg0_vrf_int,Electricity,242.59
Cooling,g_b_2126_dg0_vrf_int,Natural Gas,0
Cooling,g_c_2126_sg1_vrf_int,Electricity,182.55
Cooling,g_c_2126_sg1_vrf_int,Natural Gas,0
Cooling,g_d_2126_sg2_vrf_int,Electricity,178.36
Cooling,g_d_2126_sg2_vrf_int,Natural Gas,0
Cooling,g_e_2126_dg1_vrf_int,Electricity,322.05
Cooling,g_e_2126_dg1_vrf_int,Natural Gas,0
Cooling,g_f_2126_dg2_vrf_int,Electricity,272.99
Cooling,g_f_2126_dg2_vrf_int,Natural Gas,0
Cooling,g_g_2126_dg3_vrf_int,Electricity,280.33
Cooling,g_g_2126_dg3_vrf_int,Natural Gas,0
Cooling,g_h_2126_dg4_vrf_int,Electricity,221.63
Cooling,g_h_2126_dg4_vrf_int,Natural Gas,0
Cooling,g_i_2126_dg5_vrf_int,Electricity,246.96
