name,glazing,heating_setpoint,cooling_setpoint,natural_gas,elec_use,ext_shdg_device,int_shdg_device,thermal_curtain,sg,sg_coated,dg,dg_coated,dg_coated_krypton,dg_2coatings,tg_coated,tg_2coatings,tg_2coatings_krypton,tg_2coatings_xenon,ccf,dg_vacuum,dg_smart,dsf
i_a_2126_dg_init_vav_int,dg_init_bronze,_Heating_21,_Cooling_26,491.5490909,469.4456335,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i_b_2126_dg5k,dg_5k_Krypton_lowSHG_midLT,_Heating_21,_Cooling_26,279.3345455,468.8516465,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
i_c_2126_tg5k,tg_5k_Krypton_lowSHG_midLT,_Heating_21,_Cooling_26,255.2072727,457.2052604,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
i_d_2126_tg5x,tg_5x_Xenon_lowSHG_midLT,_Heating_21,_Cooling_26,254.1163636,458.5265782,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
i_e_2126_ccf,ccf,_Heating_21,_Cooling_26,184.7672727,421.7387869,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
i_f_2126_dg_vacuum,dg_vacuum,_Heating_21,_Cooling_26,273.88,471.2387062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
i_g_2126_dg_smart,dg_smart,_Heating_21,_Cooling_26,202.0654545,422.58936,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i_h_2126_dsf_min,dsf,_Heating_21,_Cooling_26,207.2963333,454.5718519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
i_i_2126_dsf_mean,dsf,_Heating_21,_Cooling_26,221.8946667,458.4651827,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
i_j_2126_dsf_max,dsf,_Heating_21,_Cooling_26,236.493,461.8023234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
