name,glazing,heating_setpoint,cooling_setpoint,natural_gas,elec_use,ext_shdg_device,int_shdg_device,thermal_curtain,sg,sg_coated,dg,dg_coated,dg_coated_krypton,dg_2coatings,tg_coated,tg_2coatings,tg_2coatings_krypton,tg_2coatings_xenon,ccf,dg_vacuum,dg_smart,dsf
e_a_2126_dg_init_vav_int,dg_init_bronze,_Heating_21,_Cooling_26,491.5490909,469.4456335,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e_b_2126_dg0_vav_int,dg_0_clear,_Heating_21,_Cooling_26,481.5309091,487.583448,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e_c_2126_sg1_vav_int,sg_1_clear,_Heating_21,_Cooling_26,734.8981818,479.9353615,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
e_d_2126_sg2_vav_int,sg_2_coated,_Heating_21,_Cooling_26,529.5054545,459.181176,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
e_e_2126_dg1_vav_int,dg_1_highSHG_highLT,_Heating_21,_Cooling_26,328.2218182,506.1425084,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e_f_2126_dg2_vav_int,dg_3_midSHG_highLT,_Heating_21,_Cooling_26,321.1090909,479.5979607,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e_g_2126_dg3_vav_int,dg_2_midSHG_midLT,_Heating_21,_Cooling_26,313.8509091,481.6294364,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e_h_2126_dg4_vav_int,dg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,274.96,447.002424,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e_i_2126_dg5_vav_int,dg_5_lowSHG_midLT,_Heating_21,_Cooling_26,297.5418182,462.6420589,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e_j_2126_dg6_vav_int,dg_6_lowSHG_highLT,_Heating_21,_Cooling_26,312.5963636,477.8564073,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
e_k_2126_tg1_vav_int,tg_1_highSHG_highLT,_Heating_21,_Cooling_26,284.0872727,510.2286938,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
e_l_2126_tg2_vav_int,tg_2_midSHG_midLT,_Heating_21,_Cooling_26,290.4254545,483.3891731,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
e_m_2126_tg3_vav_int,tg_3_midSHG_highLT,_Heating_21,_Cooling_26,289.2072727,480.3798415,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
e_n_2126_tg4_vav_int,tg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,252.6254545,450.5077549,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
e_o_2126_tg5_vav_int,tg_5_lowSHG_midLT,_Heating_21,_Cooling_26,257.8872727,454.8131498,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
e_p_2126_tg6_vav_int,tg_6_lowSHG_highLT,_Heating_21,_Cooling_26,281.0872727,480.9697876,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
