name,glazing,heating_setpoint,cooling_setpoint,natural_gas,elec_use,ext_shdg_device,int_shdg_device,thermal_curtain,sg,sg_coated,dg,dg_coated,dg_coated_krypton,dg_2coatings,tg_coated,tg_2coatings,tg_2coatings_krypton,tg_2coatings_xenon,ccf,dg_vacuum,dg_smart,dsf
c_a_2126_dg_init_tc,dg_init_bronze,_Heating_21,_Cooling_26,541.4254545,442.6606625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
c_b_2126_dg0_tc,dg_0_clear,_Heating_21,_Cooling_26,531.9490909,459.4024058,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
c_c_2126_sg1_tc,sg_1_clear,_Heating_21,_Cooling_26,701.4945455,441.8979753,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
c_d_2126_sg2_tc,sg_2_coated,_Heating_21,_Cooling_26,568.6581818,433.845816,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c_e_2126_dg1_tc,dg_1_highSHG_highLT,_Heating_21,_Cooling_26,494.6763636,494.7658407,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c_f_2126_dg2_tc,dg_3_midSHG_highLT,_Heating_21,_Cooling_26,495.0290909,474.4702778,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c_g_2126_dg3_tc,dg_2_midSHG_midLT,_Heating_21,_Cooling_26,493.7127273,477.9917716,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c_h_2126_dg4_tc,dg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,494.0654545,457.3315331,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c_i_2126_dg5_tc,dg_5_lowSHG_midLT,_Heating_21,_Cooling_26,493.9236364,465.7301847,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c_j_2126_dg6_tc,dg_6_lowSHG_highLT,_Heating_21,_Cooling_26,493.7672727,474.9349615,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c_k_2126_tg1_tc,tg_1_highSHG_highLT,_Heating_21,_Cooling_26,488.3672727,506.7930655,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c_l_2126_tg2_tc,tg_2_midSHG_midLT,_Heating_21,_Cooling_26,489.9636364,485.1438589,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c_m_2126_tg3_tc,tg_3_midSHG_highLT,_Heating_21,_Cooling_26,489.9818182,483.0527825,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c_n_2126_tg4_tc,tg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,488.8945455,470.1386182,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
c_o_2126_tg5_tc,tg_5_lowSHG_midLT,_Heating_21,_Cooling_26,488.8727273,472.3347535,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
c_p_2126_tg6_tc,tg_6_lowSHG_highLT,_Heating_21,_Cooling_26,488.5963636,486.0025135,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
