,"market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, triple glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, ccf","market for curtain wall, double skin facade"
0,199.32612439556283,235.45078907274114,198.55045661118544,224.94545165599405,194.08684524843048,224.53825106427726,275.57416535702646,200.10210425469265,167.56277406078874,870.3779251747881,204.0067259376434,166.78390651250018,472.9798263411872,359.7477559617818
1,184.0355045259022,220.45593496986962,183.39060476745905,209.6746113053511,178.89815380650796,209.19832840357327,269.31347756591504,185.1510099413375,152.54640141126112,884.6837306687601,189.0194072033888,151.8988427444999,458.46164599457427,328.9644524438841
2,186.9862870119825,222.07722603673315,186.18372166085587,214.07051399686694,181.27730956874987,213.83707899351933,243.93758286797555,188.2482138053404,153.91271718378172,754.8677040068487,190.30379439130488,153.1068426189055,504.7722432770684,332.7234928088352
3,181.0121080390348,218.67144763905753,180.2256841047407,207.94174274494017,174.78189770734846,207.73319361497047,253.76789413072564,181.88068349745004,146.84958370958714,961.9466034249793,185.69481092146603,146.05991805194807,471.62624351803873,319.94647610670603
4,176.65245488527162,213.10935366304898,175.55850576355476,203.76434371309392,170.87633911151312,203.66772210487943,252.79121078681388,176.91497237462826,142.38242884533975,798.8063706437292,180.2793225081696,141.28397114913983,462.6029832605689,309.8192620368994
5,180.4129977259772,213.76874335053867,179.37252604754443,205.7837376102264,174.2548408712305,205.69021289929543,261.2999425259797,180.74813078111768,148.3624728669057,768.5512940451858,183.41179099341255,147.31770988622293,470.17687024808464,322.61593838588044
6,189.52158057543855,225.261735404828,188.73901630262625,214.1854759112022,184.23137252289445,214.13337430636352,263.80145255816166,190.44218378296017,158.95930671436926,728.8203469604028,194.3031973249066,158.17351788527725,467.25354045892925,340.69496397113824
7,192.65154014434802,231.26157788727437,191.76614938743168,220.19898310228396,186.2851103612168,220.07196325375847,269.4665307822574,193.5246353980698,157.89598121723503,789.3557109190026,197.36095628463025,157.00694100610565,490.6094501251154,341.67146439025635
8,192.35949951595987,232.1676633196429,191.48499285620886,219.81198764982477,186.69102386581034,219.6232863194583,278.5858909860157,193.0541932123865,158.56803810186827,857.4496752992779,197.7571778293447,157.68992126463607,501.60126713519156,342.14304772357707
9,185.38204585532813,221.66684350332815,184.39935021208947,211.82392737404112,178.9986230661331,211.74508419336595,240.33318246670564,186.35656517945935,152.4001099400809,954.9298022018855,189.3602309308408,151.41336034603782,502.0916634972964,329.27538559445986
